Product_Name,Discounted_Price,Discount,Original_Price,Rating,No_of_ratings,itemURL
GrowFit Low Carb Gluten Free Roti Flour (1Kg),790,0%,,3.3,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg7_1?ie=UTF8&adId=A040305033MHK9NHB8UG7&url=%2FGrow-Fit-Carb-Non-Gluten-Flour%2Fdp%2FB077PN52J7%2Fref%3Dsr_1_160_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-160-spons%26psc%3D1&qualifier=1591153674&id=3244593814206356&widgetName=sp_mtf_browse
Earthspired Special Multigrain Flour with Low Glycemic Index Ingredients (1kg),250,15%,₹295,3.4,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg7_2?ie=UTF8&adId=A08328631GG0WFE6RAK3X&url=%2FEarthspired-Special-Multigrain-Glycemic-Ingredients%2Fdp%2FB01MU3ITN7%2Fref%3Dsr_1_161_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-161-spons%26psc%3D1&qualifier=1591153674&id=3244593814206356&widgetName=sp_mtf_browse
"NutroActive BrownXatta Atta, High Protein & Low Carb Keto Friendly Flour - 3.4 Kg",1048,4%,"₹1,089",3.8,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg7_3?ie=UTF8&adId=A01571248RAU0GR0T2SU&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB071GYHG8M%2Fref%3Dsr_1_162_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-162-spons%26psc%3D1&qualifier=1591153674&id=3244593814206356&widgetName=sp_mtf_browse
"Daawat Rozana Gold Basmati Rice, 5kg",,0%,,3.7,316,https://www.amazon.in/Daawat-Rozana-Gold-Basmati-Rice/dp/B00N2WFYB8/ref=sr_1_163?dchild=1&qid=1591099869&s=grocery&sr=1-163
Natureland Organics Sorghum / Jowar Flour 500 Gm - Organic Flours,57,5%,₹60,2.8,9,https://www.amazon.in/Natureland-Organics-Shorgum-Flour-pack/dp/B07B9TMBTM/ref=sr_1_164?dchild=1&qid=1591099869&s=grocery&sr=1-164
"24 Mantra Organic Kabuli Chana (White Chick Peas), 500g",,0%,,4.2,111,https://www.amazon.in/24-Mantra-Organic-Kabuli-Chana/dp/B00L924ZG8/ref=sr_1_165?dchild=1&qid=1591099869&s=grocery&sr=1-165
"24 Mantra Organic Tur Dal, 1kg",,0%,,4,477,https://www.amazon.in/24-Mantra-Organic-Tur-Dal/dp/B00L925NJQ/ref=sr_1_166?dchild=1&qid=1591099869&s=grocery&sr=1-166
"24 Mantra Organic,  7 multigrain atta, 1Kg",86,9%,₹95,4.1,131,https://www.amazon.in/24-Mantra-%E0%A4%97%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%A8-%E0%A4%86%E0%A4%9F%E0%A4%BE-1kg/dp/B077VL4WL7/ref=sr_1_167?dchild=1&qid=1591099869&s=pantry&sr=1-167
"Naturevibe Botanicals Garlic Powder Dry, 200 g",274,31%,₹399,3.9,18,https://www.amazon.in/Naturevibe-Botanicals-Organic-Garlic-Powder/dp/B07RJHVNC1/ref=sr_1_168?dchild=1&qid=1591099869&s=grocery&sr=1-168
"Organic Tattva Moong Dal Yellow Split, 1kg",170,32%,₹250,4.4,71,https://www.amazon.in/Organic-Tattva-Moong-Yellow-Split/dp/B01LST2T5U/ref=sr_1_169?dchild=1&qid=1591099869&s=pantry&sr=1-169
More Poha Kanda Loose (500 g),,0%,,4,24,https://www.amazon.in/More-Poha-Kanda-Loose-500/dp/B07VK3FRQP/ref=sr_1_170?dchild=1&qid=1591099869&s=grocery&sr=1-170
Patanjali Traditional Whole Wheat Chakki Atta with Bran 5 kg (Expiry – 17th July).,,0%,,4.1,42,https://www.amazon.in/Patanjali-Traditional-Whole-Wheat-Chakki/dp/B07BDNQZ7G/ref=sr_1_171?dchild=1&qid=1591099869&s=grocery&sr=1-171
"24 Mantra Organic Rajma, 500g",105,0%,,4.2,143,https://www.amazon.in/24-Mantra-Organic-Rajma-500g/dp/B00L925IKA/ref=sr_1_172?dchild=1&qid=1591099869&s=grocery&sr=1-172
"Fortune Special Biryani Basmati Rice, 5kg",629,28%,₹875,4.4,295,https://www.amazon.in/Fortune-Special-Biryani-Basmati-Rice/dp/B00W5CFUY2/ref=sr_1_173?dchild=1&qid=1591099869&s=grocery&sr=1-173
"Raunak Unpolished Black Masoor Dal Sabut (Kali Masoor), 1kg",109,13%,₹125,,"
    Save ₹10
",https://www.amazon.in/Raunak-Unpolished-Black-Masoor-Sabut/dp/B085RWVKTK/ref=sr_1_174?dchild=1&qid=1591099869&s=grocery&sr=1-174
"SHRILALMAHAL Fitness Brown Basmati Rice (Weight Loss Special), (4 Kg : 4 x 1 Kg Jars) | Low Glycemic Index | Gluten Free | Immunity Booster",559,20%,₹700,3.9,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg8_1?ie=UTF8&adId=A07527491I4A4JEBHYATH&url=%2FSHRILALMAHAL-Fitness-Basmati-Weight-Special%2Fdp%2FB07DXZX8FR%2Fref%3Dsr_1_169_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-169-spons%26psc%3D1&qualifier=1591153676&id=1440081586786180&widgetName=sp_atf_browse
GrowFit Low Carb Gluten Free Roti Flour (1Kg),790,0%,,3.3,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg8_2?ie=UTF8&adId=A040305033MHK9NHB8UG7&url=%2FGrow-Fit-Carb-Non-Gluten-Flour%2Fdp%2FB077PN52J7%2Fref%3Dsr_1_170_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-170-spons%26psc%3D1&qualifier=1591153676&id=1440081586786180&widgetName=sp_atf_browse
Earthspired Special Multigrain Flour with Low Glycemic Index Ingredients (1kg),250,15%,₹295,3.4,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg8_3?ie=UTF8&adId=A08328631GG0WFE6RAK3X&url=%2FEarthspired-Special-Multigrain-Glycemic-Ingredients%2Fdp%2FB01MU3ITN7%2Fref%3Dsr_1_171_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-171-spons%26psc%3D1&qualifier=1591153676&id=1440081586786180&widgetName=sp_atf_browse
"24 Mantra Organic Urad Dal White Whole, 500g",130,0%,,4.3,52,https://www.amazon.in/24-Mantra-Organic-White-Whole/dp/B01GCDVD8G/ref=sr_1_172?dchild=1&qid=1591099869&s=pantry&sr=1-172
"Pro Nature Kala Channa, 500g",82,7%,₹88,4.1,76,https://www.amazon.in/Pro-Nature-Kala-Channa-500g/dp/B01IBECHG6/ref=sr_1_173?dchild=1&qid=1591099869&s=pantry&sr=1-173
"24 Mantra Organic Brown Channa Whole, 1kg",150,0%,,4.3,47,https://www.amazon.in/24-Mantra-Organic-Brown-Channa/dp/B01CHUX9AI/ref=sr_1_174?dchild=1&qid=1591099869&s=pantry&sr=1-174
"24 Mantra Organic Moong Dal, 500g",,0%,,4.2,267,https://www.amazon.in/24-Mantra-Organic-Moong-500g/dp/B00L925EYA/ref=sr_1_175?dchild=1&qid=1591099869&s=grocery&sr=1-175
"Natureland Organics Whole Wheat Flour Bag, 5 kg",275,4%,₹285,3.7,9,https://www.amazon.in/Natureland-Organics-Whole-Wheat-Flour/dp/B07B9XWKWS/ref=sr_1_176?dchild=1&qid=1591099869&s=grocery&sr=1-176
SACHASABU Sabudana Tapioca Sago,124,11%,₹140,4.1,29,https://www.amazon.in/SACHASABU-Sabudana-Tapioca-Sago/dp/B0725JPST1/ref=sr_1_177?dchild=1&qid=1591099869&s=grocery&sr=1-177
"Pasupati Gobindo Bhog Rice (Ambemor Rice, Jeera Rice), 5 Kg, Aged Rice from West Bengal",750,6%,₹800,4.2,32,https://www.amazon.in/Pasupati-Gobindo-Ambemor-Jeera-Bengal/dp/B081Z36MLS/ref=sr_1_178?dchild=1&qid=1591099869&s=grocery&sr=1-178
"Kohinoor Extra Long Gold Basmati Rice, 1kg",179,14%,₹209,4.1,95,https://www.amazon.in/Kohinoor-Extra-Long-Gold-Basmati/dp/B01H5M9SDU/ref=sr_1_179?dchild=1&qid=1591099869&s=pantry&sr=1-179
"India Gate Basmati Rice, Dubar, 5kg",489,20%,₹610,4.1,130,https://www.amazon.in/India-Gate-Basmati-Rice-Dubar/dp/B01JYTZ282/ref=sr_1_180?dchild=1&qid=1591099869&s=pantry&sr=1-180
"Pillsbury Chakki Fresh Atta, 5kg",248,6%,₹265,4.4,101,https://www.amazon.in/Pillsbury-Chakki-Fresh-Atta-5kg/dp/B07G8F6984/ref=sr_1_181?dchild=1&qid=1591099869&s=pantry&sr=1-181
"Kohinoor Authentic Basmati Biryani Kit, Sindhi, 327g",87,30%,₹125,4.3,92,https://www.amazon.in/Kohinoor-Authentic-Basmati-Biryani-Sindhi/dp/B07H32LF6D/ref=sr_1_182?dchild=1&qid=1591099869&s=pantry&sr=1-182
"Amazon Brand - Vedaka Premium Black Urad Whole / Sabut, 1 kg",133,5%,₹140,4.3,339,https://www.amazon.in/Amazon-Brand-Vedaka-Premium-Black/dp/B079NQRMFC/ref=sr_1_183?dchild=1&qid=1591099869&s=pantry&sr=1-183
"NutroActive BrownXatta Atta, High Protein & Low Carb Keto Friendly Flour - 3.4 Kg",1048,4%,"₹1,089",3.8,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg8_1?ie=UTF8&adId=A01571248RAU0GR0T2SU&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB071GYHG8M%2Fref%3Dsr_1_184_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-184-spons%26psc%3D1&qualifier=1591153676&id=1440081586786180&widgetName=sp_mtf_browse
"NutroActive BrownXatta, HIGH Protein & Low Carb Keto Friendly Flour 850 gm",312,4%,₹324,3.8,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg8_2?ie=UTF8&adId=A01572809A9YCMV2SC8Z&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB06XQMG23M%2Fref%3Dsr_1_185_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-185-spons%26psc%3D1&qualifier=1591153676&id=1440081586786180&widgetName=sp_mtf_browse
NutroActive BrownXatta High Protein & Low Carb Keto Friendly Flour - 9 Kg (Family Pack),2098,17%,"₹2,520",3.7,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg8_3?ie=UTF8&adId=A06901593JG6DRJFNJL2V&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB07FYNC42F%2Fref%3Dsr_1_186_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-186-spons%26psc%3D1&qualifier=1591153676&id=1440081586786180&widgetName=sp_mtf_browse
"Sinew Nutrition Gluten Free White Quinoa Seeds, 5 kg",900,78%,"₹4,149",4.5,64,https://www.amazon.in/Sinew-Nutrition-%E0%A4%95%E0%A5%8D%E0%A4%B5%E0%A4%BF%E0%A4%A8%E0%A5%8B%E0%A4%86-%E0%A4%B8%E0%A5%80%E0%A4%A1/dp/B07N17W3FP/ref=sr_1_187?dchild=1&qid=1591099869&s=grocery&sr=1-187
"Nourish You Organic Indian White Quinoa Seeds, 500 Grams (Single Pack)",260,10%,₹289,4.2,200,https://www.amazon.in/NourishYou-Organic-White-Quinoa-Single/dp/B0177MA6N4/ref=sr_1_188?dchild=1&qid=1591099869&s=grocery&sr=1-188
"Saffola Total-Pro Heart Conscious Edible Oil , 3 L and Kohinoor Super Value Basmati Rice 5 kg",999,27%,"₹1,365",,,https://www.amazon.in/Saffola-Total-Pro-Conscious-Kohinoor-Basmati/dp/B084DR3T44/ref=sr_1_189?dchild=1&qid=1591099869&s=pantry&sr=1-189
"Naga Sooji Bubbly Bubbly Maida, 1 kg",60,3%,₹62,4.8,7,https://www.amazon.in/Naga-Sooji-Bubbly-Maida/dp/B084Q4GJ41/ref=sr_1_190?dchild=1&qid=1591099869&s=grocery&sr=1-190
Organic Wellness White Matar Whole - 450gm,90,0%,,3.2,6,https://www.amazon.in/Organic-Wellness-White-Matar-Whole/dp/B07RMXQSFF/ref=sr_1_191?dchild=1&qid=1591099869&s=grocery&sr=1-191
"Casillo Soft Wheat Pizza Flour Type ""00"", 1Kg",250,0%,,4.5,28,https://www.amazon.in/Casillo-Soft-Wheat-Pizza-Flour/dp/B07G9N65Y9/ref=sr_1_192?dchild=1&qid=1591099869&s=grocery&sr=1-192
Tenali Double Horse Urad Dall Whole 1 Kg Pack of 2,244,16%,₹290,4.5,56,https://www.amazon.in/Tenali-Double-Horse-Orid-Dall/dp/B07QGYZMB4/ref=sr_1_193?dchild=1&qid=1591099869&s=grocery&sr=1-193
"Natureland Organics Chana Dal Pouch, 1 kg",157,5%,₹165,4.7,8,https://www.amazon.in/Natureland-Organics-Chana-Dal-Pouch/dp/B07WCC16BK/ref=sr_1_194?dchild=1&qid=1591099869&s=grocery&sr=1-194
Befach 4x Diabetic White Rice (4.5 Kgs),594,18%,₹720,4,110,https://www.amazon.in/Befach-4x-Diabetic-White-Rice/dp/B07HM5421C/ref=sr_1_195?dchild=1&qid=1591099869&s=grocery&sr=1-195
"Fortune Biryani Classic Basmati Rice, 1kg",149,34%,₹225,4.2,511,https://www.amazon.in/Fortune-Biryani-Classic-Basmati-Rice/dp/B07FQ77FLR/ref=sr_1_196?dchild=1&qid=1591099869&s=pantry&sr=1-196
"24 Mantra Organic Sonamasuri Raw Semi Brown Rice Handpounded, 1kg",95,0%,,3.9,132,https://www.amazon.in/24-Mantra-Organic-Sonamasuri-Handpounded/dp/B01CHVDJD4/ref=sr_1_197?dchild=1&qid=1591099869&s=pantry&sr=1-197
"Kohinoor Extra Long Gold Basmati Rice, 5kg",889,13%,"₹1,025",4.4,62,https://www.amazon.in/Kohinoor-Extra-Long-Gold-Basmati/dp/B01H5MA0DM/ref=sr_1_198?dchild=1&qid=1591099869&s=pantry&sr=1-198
"SHRILALMAHAL Fitness Brown Basmati Rice (Weight Loss Special), (4 Kg : 4 x 1 Kg Jars) | Low Glycemic Index | Gluten Free | Immunity Booster",559,20%,₹700,3.9,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg9_1?ie=UTF8&adId=A07527491I4A4JEBHYATH&url=%2FSHRILALMAHAL-Fitness-Basmati-Weight-Special%2Fdp%2FB07DXZX8FR%2Fref%3Dsr_1_193_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-193-spons%26psc%3D1&qualifier=1591153678&id=8263151410342670&widgetName=sp_atf_browse
"NutroActive BrownXatta, HIGH Protein & Low Carb Keto Friendly Flour 850 gm",312,4%,₹324,3.8,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg9_2?ie=UTF8&adId=A01572809A9YCMV2SC8Z&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB06XQMG23M%2Fref%3Dsr_1_194_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-194-spons%26psc%3D1&qualifier=1591153678&id=8263151410342670&widgetName=sp_atf_browse
NutroActive BrownXatta High Protein & Low Carb Keto Friendly Flour - 9 Kg (Family Pack),2098,17%,"₹2,520",3.7,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg9_3?ie=UTF8&adId=A06901593JG6DRJFNJL2V&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB07FYNC42F%2Fref%3Dsr_1_195_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-195-spons%26psc%3D1&qualifier=1591153678&id=8263151410342670&widgetName=sp_atf_browse
"24 Mantra Organic Chana Dal, 500g",,0%,,4,160,https://www.amazon.in/24-Mantra-Organic-Chana-500g/dp/B00L924TUA/ref=sr_1_196?dchild=1&qid=1591099869&s=grocery&sr=1-196
Ethnik Pride SOYA Basket 4 in 1 Healthy Protein Rich SOYA Combo | SOYA Chunks - 200gm | SOYA Mini Chunks - 100gm | SOYA Granuels - 100gm | SOYA Flour - 500gm,279,0%,,4,34,https://www.amazon.in/Ethnik-Basket-Healthy-Protein-Chunks/dp/B07XZ22RBX/ref=sr_1_197?dchild=1&qid=1591099869&s=grocery&sr=1-197
"NutroActive Keto Dosa Mix, 2 gm Net Carb Per Dosa, Gluten Free - 350gm",399,20%,₹499,3.5,77,https://www.amazon.in/NutroActive-Keto-Ultra-Instant-350gm/dp/B07QXNLVFJ/ref=sr_1_198?dchild=1&qid=1591099869&s=grocery&sr=1-198
Natureland Organics Red Rice 1 Kg - Organic Rice,138,5%,₹145,3.3,8,https://www.amazon.in/Natureland-Organics-Red-Rice-Kg/dp/B07WJ14QX9/ref=sr_1_199?dchild=1&qid=1591099869&s=grocery&sr=1-199
Rice Flour / Chawal ka Atta 1 kg from 'Home Made'. Premium Quality. No Additives or Preservatives,129,35%,₹199,5,1,https://www.amazon.in/Home-Premium-Quality-Additives-Preservatives/dp/B082ZRYW33/ref=sr_1_200?dchild=1&qid=1591099869&s=grocery&sr=1-200
"Pillsbury Chakki Fresh Atta, 10kg",450,8%,₹490,4.2,133,https://www.amazon.in/Pillsbury-Chakki-Fresh-Atta-10kg/dp/B07G83V2VK/ref=sr_1_201?dchild=1&qid=1591099869&s=pantry&sr=1-201
Forgotten Foods Organic Foxtail Millet - 900g,150,6%,₹160,4.7,14,https://www.amazon.in/Forgotten-Foods-Naturally-Management-Diabetic/dp/B076BZ9JV8/ref=sr_1_202?dchild=1&qid=1591099869&s=grocery&sr=1-202
More Loose Chana Dal (1 kg),,0%,,4.4,68,https://www.amazon.in/More-Chana-Dal-Loose-500gm/dp/B07M9KLHLX/ref=sr_1_203?dchild=1&qid=1591099869&s=grocery&sr=1-203
"NutroActive Whole Almond Flour with Skin, Badam Powder Keto Friendly 200 gm",349,13%,₹400,3.9,98,https://www.amazon.in/NutroActive-Whole-Almond-Flour-Powder/dp/B0788KTVVV/ref=sr_1_204?dchild=1&qid=1591099869&s=grocery&sr=1-204
Shubhalaxmii Food Urad Dhuli Economy 1 Kg,99,29%,₹140,,,https://www.amazon.in/Shubhalaxmii-Food-Urad-Dhuli-Economy/dp/B0851SWCZ8/ref=sr_1_205?dchild=1&qid=1591099869&s=pantry&sr=1-205
"Kohinoor Authentic Brown Basmati, 1 Kg",149,17%,₹179,3.6,40,https://www.amazon.in/Kohinoor-%E0%A4%91%E0%A4%A5%E0%A5%87%E0%A4%82%E0%A4%9F%E0%A4%BF%E0%A4%95-%E0%A4%AD%E0%A5%82%E0%A4%B0%E0%A4%BE-%E0%A4%AC%E0%A4%BE%E0%A4%B8%E0%A4%AE%E0%A4%A4%E0%A5%80-Kg/dp/B01N35ZISW/ref=sr_1_206?dchild=1&qid=1591099869&s=pantry&sr=1-206
"BB Consumer Products Urad Dal Split, 1 kg",136,6%,₹144,3.9,19,https://www.amazon.in/BB-Consumer-Products-Urad-Split/dp/B08716B8DN/ref=sr_1_207?dchild=1&qid=1591099869&s=pantry&sr=1-207
GrowFit Low Carb Gluten Free Roti Flour (1Kg),790,0%,,3.3,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg9_1?ie=UTF8&adId=A040305033MHK9NHB8UG7&url=%2FGrow-Fit-Carb-Non-Gluten-Flour%2Fdp%2FB077PN52J7%2Fref%3Dsr_1_208_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-208-spons%26psc%3D1&qualifier=1591153678&id=8263151410342670&widgetName=sp_mtf_browse
Earthspired Special Multigrain Flour with Low Glycemic Index Ingredients (1kg),250,15%,₹295,3.4,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg9_2?ie=UTF8&adId=A08328631GG0WFE6RAK3X&url=%2FEarthspired-Special-Multigrain-Glycemic-Ingredients%2Fdp%2FB01MU3ITN7%2Fref%3Dsr_1_209_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-209-spons%26psc%3D1&qualifier=1591153678&id=8263151410342670&widgetName=sp_mtf_browse
"NutroActive BrownXatta Atta, High Protein & Low Carb Keto Friendly Flour - 3.4 Kg",1048,4%,"₹1,089",3.8,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg9_3?ie=UTF8&adId=A01571248RAU0GR0T2SU&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB071GYHG8M%2Fref%3Dsr_1_210_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-210-spons%26psc%3D1&qualifier=1591153678&id=8263151410342670&widgetName=sp_mtf_browse
Indiana Sabudana (Sago/Tapioca) - 500gm,160,20%,₹200,4.4,2,https://www.amazon.in/Indiana-Sabudana-Sago-Tapioca-500gm/dp/B07VJZVJYJ/ref=sr_1_211?dchild=1&qid=1591099869&s=grocery&sr=1-211
Natureland Organics Bajra / Pearl Millet Flour 500 Gm - Organic Flour,48,5%,₹51,4,13,https://www.amazon.in/Natureland-Organics-Bajra-Pearl-Millet/dp/B07VYKNF4L/ref=sr_1_212?dchild=1&qid=1591099869&s=grocery&sr=1-212
Ayush Brown Rice/ Boiled Rice(Matta Rice) | Diabetic| Organic| 100% Sortexed| Unpolished Paraboiled Brown Rice with Low GI Index| Export Quality (5kg),549,8%,₹599,3.6,44,https://www.amazon.in/Ayush-Diabetic-Sortexed-Unpolished-Paraboiled/dp/B0842SD2LG/ref=sr_1_213?dchild=1&qid=1591099869&s=grocery&sr=1-213
Natureland Organics Masoor Dal / Split Washed 500 Gm - Organic Healthy Pulses,82,5%,₹87,4.5,5,https://www.amazon.in/Natureland-Organics-Masoor-Split-Washed/dp/B07WLRVXPG/ref=sr_1_214?dchild=1&qid=1591099869&s=grocery&sr=1-214
More Sabudana Loose (500 g),,0%,,3.6,14,https://www.amazon.in/More-Sabudana-Loose-250gm/dp/B07M9KKYVJ/ref=sr_1_215?dchild=1&qid=1591099869&s=grocery&sr=1-215
"Sinew Nutrition White Quinoa Seeds, 1kg",266,69%,₹869,4.4,232,https://www.amazon.in/Sinew-Nutrition-White-Quinoa-Seeds/dp/B07MTT4YDM/ref=sr_1_216?dchild=1&qid=1591099869&s=grocery&sr=1-216
Riso Scotti Hakumaki Sushi Rice 1kg,390,35%,₹599,4,42,https://www.amazon.in/Riso-Scotti-Hakumaki-Sushi-Rice/dp/B0757NZHW2/ref=sr_1_217?dchild=1&qid=1591099869&s=grocery&sr=1-217
"India Gate Basmati Rice Pouch, Classic, 1kg",200,7%,₹216,4.3,74,https://www.amazon.in/India-Gate-Basmati-Pouch-Classic/dp/B00PCCR1FI/ref=sr_1_218?dchild=1&qid=1591099869&s=grocery&sr=1-218
"Devakshat Gobindo Bhog Rice (Ambemor Rice, Jeera Rice), 5 Kg, The Aged Rice from West Bengal",740,1%,₹750,3.3,76,https://www.amazon.in/Devakshat-Gobindo-Ambemor-Jeera-Bengal/dp/B07TXHVK4S/ref=sr_1_219?dchild=1&qid=1591099869&s=grocery&sr=1-219
"Kohinoor Dubar Authentic Basmati Rice, 5 Kg",499,20%,₹620,3.1,32,https://www.amazon.in/Kohinoor-Dubar-Basmati-Rice-5KG/dp/B074QV46JQ/ref=sr_1_220?dchild=1&qid=1591099869&s=pantry&sr=1-220
"Jivabhumi Organic Ragi Whole, 1 kg",189,8%,₹205,4,2,https://www.amazon.in/Jivabhumi-Organic-Ragi-Whole/dp/B07HT8P7ZY/ref=sr_1_221?dchild=1&qid=1591099869&s=grocery&sr=1-221
"Natureland Organics Arhar/Toor Dal Pouch, 1 kg",204,5%,₹215,3.5,2,https://www.amazon.in/Natureland-Organics-Arhar-Toor-Pouch/dp/B01L93Z0XS/ref=sr_1_222?dchild=1&qid=1591099869&s=grocery&sr=1-222
"SHRILALMAHAL Fitness Brown Basmati Rice (Weight Loss Special), (4 Kg : 4 x 1 Kg Jars) | Low Glycemic Index | Gluten Free | Immunity Booster",559,20%,₹700,3.9,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg10_1?ie=UTF8&adId=A07527491I4A4JEBHYATH&url=%2FSHRILALMAHAL-Fitness-Basmati-Weight-Special%2Fdp%2FB07DXZX8FR%2Fref%3Dsr_1_217_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-217-spons%26psc%3D1&qualifier=1591153679&id=3487374893443017&widgetName=sp_atf_browse
"NutroActive BrownXatta, HIGH Protein & Low Carb Keto Friendly Flour 850 gm",312,4%,₹324,3.8,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg10_2?ie=UTF8&adId=A01572809A9YCMV2SC8Z&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB06XQMG23M%2Fref%3Dsr_1_218_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-218-spons%26psc%3D1&qualifier=1591153679&id=3487374893443017&widgetName=sp_atf_browse
NutroActive BrownXatta High Protein & Low Carb Keto Friendly Flour - 9 Kg (Family Pack),2098,17%,"₹2,520",3.7,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg10_3?ie=UTF8&adId=A06901593JG6DRJFNJL2V&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB07FYNC42F%2Fref%3Dsr_1_219_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-219-spons%26psc%3D1&qualifier=1591153679&id=3487374893443017&widgetName=sp_atf_browse
"Urban Platter Whole White Indian Quinoa Grain, 1Kg",290,42%,₹500,4.2,252,https://www.amazon.in/Urban-Platter-Whole-White-Quinoa/dp/B01N6GTLDI/ref=sr_1_220?dchild=1&qid=1591099869&s=grocery&sr=1-220
"Mangat Ram Lal Rajma, 1kg",149,10%,₹165,3.9,38,https://www.amazon.in/Mangat-Ram-Lal-Rajma-1kg/dp/B07H3HMV9N/ref=sr_1_221?dchild=1&qid=1591099869&s=grocery&sr=1-221
"Miltop Kodri-Kodo Millet, 1 kg (Healthy Diabetic Food)",200,0%,,4.5,27,https://www.amazon.in/Miltop-Kodri-Kodo-Millet-1kg/dp/B011EFFGWG/ref=sr_1_222?dchild=1&qid=1591099869&s=grocery&sr=1-222
Natureland Organics Moong Sabut / Whole Daal 500 Gm (Pack of 3) - Organic Pulses,306,0%,,5,3,https://www.amazon.in/Natureland-Organics-Moong-Sabut-Whole/dp/B07B9W6GP5/ref=sr_1_223?dchild=1&qid=1591099869&s=grocery&sr=1-223
